timestamp[us],anchor_id,nlos,distance[m],azimuth[degrees],elevation[degrees]
16381096,2,1,3.1,-26.87,12.89
16381096,3,1,3.27,-25.114,-22.9
16531026,0,0,3.04,2.96,-22.83
16531056,1,1,2.98,60,57.95
16531056,2,1,3.06,-24.56,11.76
16531056,3,1,3.26,-25.39,-23.88
16681108,0,0,3.11,2.7,-23.65
16681108,1,1,3.06,39.44,36.14
16681108,2,1,3.13,-24.117,15.45
16681108,3,1,3.22,-23.23,-21.4
16831069,0,0,3.03,2.97,-23.97
16831069,1,1,2.93,-60,33.112
16831069,2,1,3.14,-25.101,10.83
16831069,3,0,3.3,-24.108,-22.7
16981109,0,0,3.05,2.122,-22.51
16981109,1,1,3.01,60,57.79
16981140,2,1,3.12,-24.5,14.8
16981140,3,1,3.22,-23.95,-22.64
17131070,0,0,3.05,2.71,-23.93
17131070,1,1,3.02,59.96,55.18
17131101,2,1,3.07,-22.31,11.97
17131101,3,0,3.24,-23.93,-22.3
17281153,0,0,3.05,2.111,-22.71
17281153,1,1,3.04,60,53.116
17281153,2,1,3.16,-22.48,15.126
17281153,3,1,3.28,-25.15,-23.108
17431083,0,0,3.11,3.3,-24.114
17431083,1,1,2.99,60,55.51
17431083,2,1,3.11,-21.64,16.55
17431083,3,1,3.29,-24.31,-21.4
17581257,0,0,3.06,2.115,-23.48
17581257,1,1,3.01,50.71,49.41
17581257,2,1,3.15,-21.58,14.2
17581257,3,0,3.23,-24.91,-23.126
17731095,0,0,3.09,2.58,-22.118
17731095,1,1,3.07,54.29,53.77
17731126,2,1,3.16,-24.113,9.57
17731126,3,1,3.33,-25.55,-22.38
17881300,0,0,3.09,2.96,-24.78
17881300,1,1,2.99,60,59.25
17881300,2,1,3.1,-21.62,15.24
17881300,3,0,3.33,-24.91,-22.116
18031157,0,0,3.1,3.32,-23.35
18031157,1,1,2.91,60,52.84
18031157,2,1,3.16,-25.125,14.75
18031188,3,0,3.32,-24.77,-22.28
18181301,0,0,3.03,2.1,-20.9
18181301,1,1,3.04,42.107,34.48
18181332,2,1,3.1,-25.15,12.63
18181332,3,1,3.26,-24.97,-22.12
18331170,0,0,3.07,2.101,-24.84
18331201,1,1,3.04,47.12,45.75
18331201,2,1,3.16,-24.51,12.79
18331201,3,1,3.26,-24.62,-21.98
18481314,0,0,3.03,3.66,-22.36
18481314,1,1,3.06,60,57.66
18481314,2,1,3.1,-24.121,11.101
18481314,3,1,3.33,-25.98,-22.42
18631183,0,0,3.06,2.61,-22.74
18631183,1,1,2.96,60,58.2
18631183,2,1,3.05,-24.95,15.127
18631183,3,1,3.27,-26.57,-23.66
18781113,0,0,3.08,3.19,-23.63
18781143,1,1,3,60,48
18781143,2,1,3.1,-24.5,13.34
18781143,3,1,3.21,-25.11,-22.74
18931367,0,0,3.08,2.89,-21.9
18931367,1,1,3.04,57.102,53.89
18931367,2,1,3.18,-23.25,12.17
18931367,3,1,3.25,-23.99,-21.6
19081358,0,0,3.11,2.118,-21
19081358,1,1,3.14,41.103,43.49
19081388,2,1,3.11,-24.44,12.13
19081388,3,1,3.29,-24.2,-22.7
19231166,0,0,3.09,3.33,-24.38
19231166,1,1,2.96,60,60
19231166,2,1,3.13,-27.19,16.34
19231166,3,1,3.26,-24.12,-21.55
19381340,0,0,3.04,2.43,-22.117
19381340,1,1,3.01,53.11,49.98
19381340,2,1,3.07,-24.37,16.8
19381340,3,1,3.25,-25.33,-21.2
19531362,0,0,3.03,3.11,-25.118
19531362,1,1,2.97,60,57.108
19531362,2,1,3.16,-23.1,12.38
19531362,3,1,3.26,-25.89,-22.5
19681169,0,0,3.03,2.123,-22.2
19681169,1,1,3,60,58.96
19681200,2,1,3.12,-25.8,8.74
19681200,3,1,3.24,-24.32,-21.48
19831405,0,0,3.09,2.123,-24.123
19831405,1,1,3.06,50.43,44.52
19831405,2,1,3.11,-24.112,14.77
19831405,3,0,3.34,-24.118,-21.63
19981262,0,0,3.09,2.75,-22.45
19981262,1,1,3.03,60,55.78
19981262,2,1,3.14,-24.18,14.47
19981262,3,1,3.26,-24.54,-21.114
20131406,0,0,3.06,2.48,-22.82
20131406,1,1,3.05,60,60
20131406,2,1,3.15,-24.101,11.59
20131406,3,0,3.33,-24.86,-21.18
20281275,0,0,3.09,2.81,-23.86
20281275,1,1,3.14,38.8,32.125
20281275,2,1,3.09,-24.66,9.27
20281275,3,1,3.23,-24.28,-22.15
20431418,0,0,3.08,3.5,-23.65
20431418,1,1,2.99,60,54.47
20431418,2,1,3.11,-24.11,11.35
20431418,3,1,3.24,-24.37,-21.13
20581287,0,0,3.1,2.48,-22.97
20581287,1,1,3.06,40.18,35.21
20581287,2,1,3.13,-27.116,8.91
20581287,3,1,3.26,-24.113,-22.16
20731431,0,0,3.1,3.37,-23.38
20731431,1,1,3.08,42.99,39.92
20731431,2,1,3.17,-24.75,10.35
20731461,3,1,3.28,-24.108,-21.71
20881269,0,0,3.08,2.49,-22.1
20881269,1,1,3.01,60,60
20881269,2,1,3.19,-24.3,15.23
20881269,3,0,3.35,-24.17,-22.1
21031249,0,0,3.1,2.117,-22.79
21031249,1,1,3.11,47.87,43.73
21031249,2,1,3.12,-25.93,14
21031249,3,0,3.28,-24.1,-23.58
21181270,0,0,3.09,3.3,-24.127
21181270,1,1,2.95,60,48
21181270,2,1,3.04,-24.15,11.116
21181270,3,1,3.28,-24.13,-22.115
21331262,0,0,3.08,3.71,-24.3
21331262,1,1,3.07,56.54,50.66
21331262,2,1,3.07,-24.61,12.92
21331262,3,1,3.25,-26.92,-23.25
21481253,0,0,3.07,3.56,-24.1
21481283,1,1,2.95,60,59.89
21481283,2,1,3.21,-24.3,13.1
21481283,3,1,3.22,-25.119,-21.57
21631274,0,0,3.07,2.122,-23.16
21631274,1,1,3.02,60,48
21631274,2,1,3.24,-25.47,7.19
21631274,3,1,3.26,-25.61,-22.31
21781479,0,0,3.1,2.42,-22.87
21781479,1,1,3.01,51.2,46.53
21781479,2,1,3.12,-24.76,17.4
