timestamp[us],anchor_id,nlos,distance[m],azimuth[degrees],elevation[degrees]
78423789,0,1,3.56,-5.36,60
78423820,3,1,3.95,5.42,60
78573750,0,1,3.56,-1.79,55.48
78573750,3,1,3.88,5.5,60
78723832,0,1,3.6,-1.86,58.39
78723832,3,1,3.88,2.43,-60
78873762,0,1,3.59,-4.87,60
78873762,3,1,3.86,5.96,60
79023833,0,1,3.72,-7.47,60
79023833,3,1,3.88,7.82,60
79173794,0,1,3.66,-10.67,60
79173794,3,1,3.92,3.63,60
79323785,0,1,3.62,-10.113,60
79323785,3,1,3.92,5.51,60
79473806,0,1,3.61,-10.47,60
79473806,3,1,3.86,7.101,60
79624011,0,1,3.69,-8.108,60
79624011,3,1,3.92,3.16,60
79773789,0,1,3.59,-9.15,60
79773819,3,1,3.92,3.7,-60
79923829,0,1,3.63,-10.123,59.59
79923829,3,1,3.9,2.9,60
80073851,0,1,3.64,-8.28,56.119
80073851,3,1,3.86,3.12,-60
80223842,0,1,3.62,-7.12,57.5
80223842,3,1,3.9,2.65,60
80373894,0,1,3.61,-8.86,58.11
80373924,3,1,3.89,4.27,60
80523824,0,1,3.61,-5.43,60
80523854,3,1,3.95,-1.87,-60
80673906,0,1,3.59,-9.14,60
80673906,3,1,3.91,3.3,60
80823867,0,1,3.67,-11.24,59.126
80823867,3,1,3.87,-2.3,-60
80973938,0,1,3.63,-15.86,60
80973938,3,1,3.89,1.14,-60
81123868,0,1,3.69,-11.35,60
81123868,3,1,3.89,1.1,60
81273890,0,1,3.68,-7.89,53.68
81273890,3,1,3.93,0.38,60
81423881,0,1,3.7,-8.101,60
81423911,3,1,3.83,4.124,60
81574024,0,1,3.64,-9.58,60
81574024,3,1,3.92,3.34,-60
81723893,0,1,3.58,-7.121,59.124
81723924,3,1,3.89,0.51,-60
81873884,0,1,3.56,2.98,58.78
81873915,3,1,3.89,-1.55,60
82023925,0,1,3.57,0.27,60
82023925,3,1,3.9,-3.8,-60
82173916,0,1,3.6,1.1,57.5
82173916,3,1,3.89,-6.24,60
82323998,0,1,3.58,-2.111,60
82323998,3,1,3.89,-11.27,60
82473929,0,1,3.6,-4.98,58.68
82473929,3,1,3.89,-6.75,60
82624011,0,1,3.61,0.3,54.77
82624011,3,1,3.89,-9.113,60
82773941,0,1,3.56,-13.98,59.94
82773941,3,1,3.89,-7.4,60
82924012,0,1,3.65,-6,55.77
82924012,3,1,3.95,-7.92,60
83073973,0,1,3.6,1.65,49.7
83073973,3,1,3.91,-7.49,-60
83224025,0,1,3.6,-7.113,60
83224025,3,1,3.86,-4.75,-60
83373985,0,1,3.58,6.42,55.83
83373985,3,1,3.93,-1.36,51.44
83524037,0,1,3.61,1.102,59.48
83524068,3,1,3.92,-3.79,53.8
83673998,0,1,3.57,6.35,44.96
83673998,3,1,3.91,0.59,51.122
83824081,0,1,3.51,0.104,53.104
83824081,3,1,3.95,-6.33,60
