timestamp[us],temp[celsius],ax[m/s^2],ay[m/s^2],az[m/s^2],gx[rad/s],gy[rad/s],gz[rad/s]
19858748,27.7559,0.0437119,-0.0778612,9.8104,0.000124765,3.7258e-05,6.83757e-05
19866277,27.7607,0.0382111,-0.0767438,9.8147,0.000216539,0.000496747,-0.000105274
19874784,27.7607,0.0314319,-0.0730445,9.81316,8.11528e-05,0.000611941,-0.000256302
19883291,27.752,0.024749,-0.0674587,9.806,3.95632e-06,0.000497828,-0.000159588
19891798,27.7554,0.0200685,-0.0635027,9.82357,5.29948e-06,0.00059355,-7.70667e-06
19899376,27.7432,0.0195729,-0.0650026,9.82243,0.000294732,0.000153473,0.00016304
19907853,27.7417,0.0258252,-0.0667503,9.81144,-0.000145008,-0.000134175,0.000242531
19916360,27.75,0.0273881,-0.067592,9.80405,-6.7648e-05,-0.000132752,0.00054639
19924867,27.7515,0.0350854,-0.0750711,9.80675,8.43488e-05,-3.84005e-05,0.000524596
19932425,27.752,0.0502238,-0.0810057,9.81502,-0.000121706,-0.000748789,0.000431684
19940932,27.7485,0.0513186,-0.0835786,9.81086,2.5521e-05,-0.000211683,3.13031e-05
19949409,27.751,0.043961,-0.0775655,9.80324,0.000158981,0.000208968,-8.38082e-05
19957917,27.7529,0.0304659,-0.0672895,9.80543,0.000236093,0.000689719,-0.000123933
19966550,27.7637,0.0159695,-0.0576085,9.80899,6.06338e-05,0.000993944,-6.53315e-05
19974647,27.7598,0.00616109,-0.051592,9.81071,0.00029533,0.000820685,0.0003333
19982490,27.7622,0.0067933,-0.0548529,9.80945,1.00184e-05,1.9062e-05,0.000661047
19990997,27.7588,0.0204454,-0.0638856,9.81349,-0.000176458,-0.000709233,0.000797719
20000284,27.7583,0.0375016,-0.0764002,9.81272,-0.000216688,-0.000994084,0.00104442
20007690,27.7593,0.0528801,-0.0867205,9.80497,-2.65882e-05,-0.00114774,0.000777148
20016197,27.7676,0.0582921,-0.0902671,9.80881,0.00023865,-0.000346834,0.000354435
20024047,27.7627,0.0520406,-0.0853985,9.82056,0.0001597,0.000383229,0.000124625
20031577,27.748,0.0418128,-0.0785193,9.81238,0.000271077,0.000573963,-0.000179518
20040083,27.7495,0.0277502,-0.0696452,9.80099,0.000138421,0.000876921,-0.000180045
20048590,27.7603,0.0225399,-0.0614283,9.7864,-7.30646e-05,0.00101248,-7.78256e-06
20057097,27.7539,0.04486,-0.0730587,9.66705,-0.00122119,0.00104982,1.80088e-05
20065724,27.7539,0.0529224,-0.0842598,9.90129,0.000900155,0.00430631,-0.000154359
20074201,27.749,0.00705272,-0.0763445,10.0357,-0.000114703,0.00258321,-0.00027725
20082146,27.7549,0.0136075,-0.0589025,9.6824,-0.000893977,-0.00321705,-0.000261924
20090147,27.7642,0.0605649,-0.0759197,9.61834,-0.000125936,-0.00103783,-0.000254834
20097706,27.7734,0.0264881,-0.0811262,10.02,0.000615315,0.0051696,0.000132668
20106213,27.7798,0.0133623,-0.0554926,9.9011,-0.000272734,2.36728e-05,7.20459e-05
20114690,27.7666,0.0617857,-0.0829495,9.57219,-0.000926228,-0.00392964,-0.000702939
20123197,27.7554,0.0665373,-0.101008,9.83034,0.000424741,0.00416797,-0.000551456
20132382,27.7603,0.0288692,-0.0746741,9.97873,-0.000144465,0.0045574,-0.00079505
20140889,27.7578,0.0293929,-0.0695487,9.72284,-0.000710075,-0.000250961,-0.00110962
20148932,27.752,0.0456441,-0.0790361,9.70099,-0.000227778,0.00119828,-0.00103651
20156247,27.7559,0.00513596,-0.0548947,9.9503,0.000741723,0.00557173,-0.000458635
20164366,27.7554,-0.0399421,-0.0189,9.91686,0.000211597,0.00204743,-0.000392948
20172872,27.7588,-0.00465069,-0.0469832,9.66972,-0.00065661,-0.00375243,8.00639e-05
20181379,27.7744,0.03797,-0.0776193,9.75442,-5.53082e-06,-0.00103288,0.000853429
20189296,27.7715,0.0366957,-0.068667,9.92587,0.00031843,0.00118884,0.00113237
20197938,27.7563,0.0427688,-0.0772839,9.82182,-0.000332161,-0.00136089,0.000452293
20205798,27.7578,0.0701575,-0.102878,9.7152,-0.00050409,-0.00247439,-7.77866e-05
20213870,27.7651,0.0566949,-0.0885783,9.83496,0.000348876,0.00174104,-0.000145542
20222377,27.7646,0.0146728,-0.0544238,9.87834,0.000271042,0.0029859,-0.000261159
20229906,27.769,0.00664992,-0.0572919,9.75696,-0.00012263,-7.8934e-05,1.36557e-05
20238412,27.772,0.0189819,-0.0685773,9.75056,6.67948e-05,0.000133825,0.000528368
20246919,27.7656,0.00981906,-0.0498573,9.86895,8.12187e-06,0.0025451,0.000903929
20255427,27.7583,0.0113544,-0.0579103,9.83923,-0.000562317,0.00080279,0.000641938
20262955,27.7598,0.0477405,-0.092662,9.75734,-0.000582421,-0.00212698,0.000497322
20271463,27.7671,0.068926,-0.0986254,9.79884,-0.000317655,-0.000363375,0.000588616
20279970,27.7681,0.0600062,-0.0906245,9.84195,0.000139674,0.00158878,2.83275e-05
20288477,27.769,0.0451047,-0.0904144,9.85298,6.01958e-05,0.000993264,-0.000829958
20296669,27.7632,0.0296787,-0.0802905,9.82781,0.000499187,-4.004e-05,-0.000924264
20304512,27.7588,0.0176823,-0.0544856,9.76692,-1.59769e-05,0.000265385,-0.000520032
20313020,27.7603,0.0143428,-0.054161,9.7744,-7.23186e-05,0.00124375,-0.000428697
20321527,27.7637,0.0172397,-0.066054,9.85154,0.000198619,0.000783506,-1.18085e-05
20330755,27.7642,0.0230934,-0.0651399,9.80848,-0.000127499,-0.000307948,0.000108121
20338639,27.7617,0.0373226,-0.0662556,9.75912,-0.00037552,0.000209721,3.46892e-05
20346640,27.7661,0.0455739,-0.0858391,9.82393,-0.000341028,0.000784308,-0.00019548
20354577,27.7598,0.0422103,-0.0837542,9.84909,6.40412e-06,0.000842158,-2.72713e-05
20362619,27.7603,0.0388517,-0.0712382,9.78879,0.000213073,5.58938e-05,-0.000332848
20371126,27.7563,0.031832,-0.0713884,9.78923,0.000347952,0.0011491,-0.000544738
20379633,27.7573,0.0172171,-0.0645618,9.83594,0.000519867,0.00120652,-0.000374231
20387657,27.7529,0.01232,-0.058463,9.80886,2.44221e-05,0.000515936,-0.000198613
20396260,27.7515,0.0222627,-0.0636819,9.79318,8.39195e-05,-0.00019028,-4.32898e-05
20404210,27.7544,0.036786,-0.0809246,9.80814,0.000272781,1.96875e-05,-7.26042e-06
20412200,27.7598,0.0478625,-0.0877259,9.82732,0.000311939,1.70252e-05,-0.000179559
20420707,27.7666,0.052766,-0.089843,9.82014,-0.000110838,-0.000172919,-0.000692898
20429330,27.7612,0.0480439,-0.0882899,9.80148,0.0002859,0.0002485,-0.00107565
20437263,27.7559,0.0322982,-0.0724457,9.8122,0.000436853,0.00127976,-0.00119367
20445250,27.7632,0.00896198,-0.058029,9.82003,0.000400453,0.0017384,-0.000984614
20453757,27.7715,0.00142913,-0.050641,9.81375,0.000306443,0.00084117,-0.000561477
20462367,27.7759,0.00561665,-0.0556582,9.8057,0.000141593,-0.000251005,-0.000158825
20470844,27.7754,0.0182957,-0.059957,9.81083,-8.97803e-05,-0.000306533,0.000165748
20478782,27.7764,0.0302348,-0.0700947,9.81006,-0.000258784,-0.000498175,0.000166707
20486807,27.7681,0.0385488,-0.0805726,9.8098,-8.50075e-05,-0.000633141,0.000279744
20494366,27.7559,0.0397059,-0.0787226,9.81236,8.51966e-05,-0.000229559,0.000222234
20502845,27.7505,0.0328521,-0.0753716,9.81622,-1.43848e-05,0.000670065,0.00020222
20511350,27.7568,0.0291971,-0.0740985,9.81687,-0.000127263,0.000308031,3.15383e-05
20519857,27.7583,0.0266064,-0.0699425,9.8092,0.000140799,-0.00023003,-7.47951e-06
20527416,27.7578,0.0267685,-0.0645839,9.80249,8.89061e-06,-0.00023074,3.22234e-05
20535923,27.7627,0.0216194,-0.0666177,9.79902,8.57299e-06,0.000151934,0.000203174
20544430,27.77,0.0257451,-0.0687064,9.81696,2.92143e-05,0.000114647,0.000334731
20552907,27.77,0.0280549,-0.0687066,9.81539,1.11559e-05,-7.49036e-05,0.000280443
20563186,27.7695,0.0299035,-0.0694087,9.79812,-0.000239392,7.64664e-05,0.00054718
20570949,27.7725,0.0270501,-0.0684614,9.80385,-0.000106537,0.000323877,0.000451849
20578050,27.7808,0.0239078,-0.0663565,9.81092,6.70265e-05,0.000842729,0.00065916
20585987,27.7734,0.0188494,-0.0640961,9.81033,0.000104203,0.000709697,0.000639752
20593516,27.7676,0.0199008,-0.0658452,9.81788,2.88815e-05,0.000229752,0.000869362
20602023,27.7798,0.0259855,-0.0708576,9.81313,-0.000175624,-0.000498251,0.00106166
20610530,27.7852,0.0383356,-0.0771201,9.80687,3.12955e-05,-0.000288169,0.00092721
20619037,27.7734,0.0486881,-0.0831638,9.79377,-0.000411512,-0.000172546,0.000700351
20627389,27.7769,0.0533644,-0.0883223,9.81185,-0.000161552,0.000345108,0.000526994
20635072,27.772,0.0542554,-0.0898663,9.82654,0.000179842,0.000630009,0.000181679
20643579,27.7681,0.0481947,-0.0868514,9.80243,6.35893e-05,0.000533627,-0.000178392
20652087,27.7764,0.0455938,-0.0826506,9.80616,0.000269128,0.000591376,-0.000523555
20659616,27.7778,0.0359203,-0.077835,9.82122,9.29316e-07,0.000783492,-0.000637363
20668123,27.7778,0.0281772,-0.0678866,9.81099,0.00040313,0.000553953,-0.000791698
20676630,27.7832,0.0252163,-0.0644141,9.80386,0.000175591,0.000171267,-0.000695382
20685137,27.7803,0.0242254,-0.0681027,9.8129,0.000348021,0.000609633,-0.000716628
20693744,27.7744,0.0223244,-0.0682545,9.8153,0.000212668,9.51291e-05,-0.000636313
20702222,27.7749,0.0233537,-0.0665471,9.8075,6.17556e-05,9.33809e-05,-0.00040853
20710238,27.7788,0.0245924,-0.0694844,9.80694,0.000292555,0.000226585,-0.000391128
20718187,27.7666,0.0207166,-0.0699027,9.82016,8.36031e-05,0.000612475,-0.000123643
20726840,27.7534,0.0192859,-0.0616257,9.81502,2.56836e-05,5.64948e-05,-6.82678e-06
20734755,27.7456,0.0188439,-0.063675,9.80755,0.000122172,-0.000459887,5.10345e-05
20742729,27.7617,0.0252274,-0.0692141,9.80343,0.000240214,-0.000689641,0.000260247
20751236,27.7734,0.0336416,-0.0717246,9.8029,-0.000105755,-0.000785343,0.000185939
20759240,27.7744,0.0371561,-0.0737377,9.80801,-0.000142598,7.61517e-05,0.000202912
20767303,27.7725,0.034463,-0.0766909,9.81527,-6.86518e-05,0.000306568,0.000202181
20775810,27.7734,0.0305754,-0.0718436,9.81192,0.000161981,0.000343999,0.000260324
20784286,27.7803,0.0257576,-0.0694931,9.8075,-8.78984e-05,0.000134014,0.000203974
20792352,27.7798,0.0234666,-0.0680977,9.80818,0.000388217,0.000152259,0.000200551
20800858,27.772,0.0240801,-0.0702506,9.80715,0.000105372,0.000212775,0.000393478
20809365,27.7666,0.0291672,-0.0705164,9.80559,0.000220473,-3.87385e-05,0.000373165
20817367,27.7754,0.0348445,-0.0743345,9.8175,-1.02292e-05,-0.000155085,0.000297972
20825969,27.7715,0.0348497,-0.0749364,9.81187,0.000277617,7.58102e-05,0.000296464
20834476,27.77,0.0300993,-0.0749343,9.80559,2.75845e-05,0.000496908,0.000297955
20842422,27.7759,0.0268302,-0.0674602,9.82092,-5.09426e-05,0.000592087,0.000258968
20850417,27.7734,0.0202101,-0.0668252,9.81565,-0.000219451,0.000170582,0.000451764
20858507,27.7729,0.0235346,-0.0661161,9.79995,4.99038e-05,1.90228e-05,0.00050785
20867014,27.7778,0.0306372,-0.0707862,9.81063,-0.00010397,-0.000401854,0.000509225
20875521,27.7788,0.0349535,-0.0773706,9.82201,0.000144281,-9.7558e-05,0.000431127
20883467,27.7729,0.0387722,-0.0783411,9.81027,-0.000220163,-0.000324869,0.000319844
20891026,27.7773,0.040816,-0.080179,9.80688,4.96282e-05,-0.000133103,0.000221916
20899503,27.7754,0.0373516,-0.0771037,9.80971,-1.16873e-05,0.000210175,3.02565e-05
20908010,27.7676,0.0364486,-0.076671,9.80938,-7.07634e-05,0.000363539,-0.000196681
20916517,27.7783,0.0357975,-0.0793775,9.80761,-5.24757e-05,0.000111199,-0.000177503
20927148,27.7827,0.0364029,-0.0763827,9.80821,4.44783e-05,-5.94117e-05,-0.000255117
20935655,27.7832,0.0363888,-0.0767705,9.80405,0.000157443,0.000228697,-0.000370228
20943653,27.7847,0.0360683,-0.0763843,9.80772,0.000175073,0.000286326,-0.000617283
20950989,27.7876,0.0342866,-0.0723088,9.81223,0.000253062,0.00061056,-0.000620105
20957145,27.7886,0.0245042,-0.0634662,9.80382,0.000115339,0.000801649,-0.000696576
20965652,27.7773,0.0176879,-0.0598471,9.80471,0.000156139,0.000670389,-0.000524673
20974128,27.7749,0.0141691,-0.0591938,9.81787,0.000234762,0.000401316,-0.000126048
20982635,27.7695,0.0160793,-0.0613068,9.81507,0.000122305,0.000171137,-6.57392e-05
